I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
Can I book a reservation for 7 at 13:00 this Friday ? ||| Nista' nibbukkja prenotazzjoni għal 7 f'13:00 illum il Ġimgħa ?
Booking was successful . The table will be reserved for 15 minutes starting at 13:00 . Your reference number is XU553DWZ . Is there anything else I can help you with ? ||| Il prenotazzjoni kienet suċċess . Il mejda tkun riservata għal 15 il minuta li jibdew fis 13:00 . In numru ta' referenza tiegħek huwa XU553DWZ . Hemm xi ħaġa oħra li nista' ngħinek biha ?
Yes , I am also looking for a hotel called gonville hotel . ||| Iva , qed infittex ukoll lukanda msejħa gonville hotel .
The Gonville Hotel is located at gonville place , cb11ly . The phone number is 01223366611 . Would you like me to book it for you ? ||| Il Lukanda Gonville tinsab fil post gonville , cb11ly . In numru tat telefon huwa 01223366611 . Tixtieq nibbukkjah għalik ?
Yes please , we will check in after we eat at the Royal Standard and stay for five nights . ||| Iva jekk jogħġbok , niċċekkjaw wara li nieklu fir Royal Standard u noqogħdu għal ħames iljieli .
Booking was successful . Your reference number is X1H1FH32 . Is there anything else I can help you with ? ||| Il prenotazzjoni kienet suċċess . In numru ta' referenza tiegħek huwa X1H1FH32 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
No , I think I'm all set . Thank you for your help ! ||| Le , naħseb li jien kollox lest . Grazzi tal għajnuna tiegħek !
Wonderful ! Glad to have been of help . Have a wonderful day ! ||| Sabiħ ! Ferħan li kienu ta' għajnuna . Have a ġurnata mill isbaħ !
I am trying to find a hotel in Cambridge called the Hamilton Lodge . ||| Qed nipprova nsib lukanda f Cambridge jisimha Hamilton Lodge .
There is one guesthouse called Hamilton Lodge that is located at 156 Chesterton Road . Would you like to book there ? ||| Hemm guesthouse waħda msejħa Hamilton Lodge li tinsab f'156 Chesterton Road . Tixtieq tibbukkja hemm ?
Yes . I would like to book for 5 nights starting Tuesday with a total of 6 people . Can I have the reference number ? ||| Iva . Nixtieq nibbukkja għal 5 iljieli li jibdew it Tlieta b'total ta' 6 persuni . Jista' jkolli n numru ta' referenza ?
Booking was successful ! Your reference number is LNDHTG39 . Is there anything else I can help you with today ? ||| Il prenotazzjoni kienet suċċess ! In numru ta' referenza tiegħek huwa LNDHTG39 . Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
I'm looking for the cotto restaurant . ||| Qed infittex ir ristorant cotto .
The cotto restaurant is on East Road in City Centre . They are moderately priced and they serve british food . Would you like to reserve a table there ? ||| Ir ristorant cotto jinsab fi Triq il Lvant fiċ Ċentru tal Belt . Huma bi prezz moderat u jservu ikel Ingliż . Tixtieq tirriżerva mejda hemm ?
Not currently no . Can you give me the full address of Cotto ? I need the address , postcode and area please . ||| Bħalissa mhux le . Tista' tagħtini l indirizz sħiħ ta' Cotto ? Għandi bżonn l indirizz , il kodiċi postali u ż żona jekk jogħġbok .
They are in the centre of town , their address is 183 East Road City Centre , and their postcode is cb11bg ||| Huma fiċ ċentru tal belt , l indirizz tagħhom huwa 183 East Road City Centre , u l kodiċi postali tagħhom huwa cb11bg
Thanks , that's all I need ! ||| Grazzi , dak kollu li għandi bżonn !
Thank you , goodbye . ||| Grazzi , addio .
I am looking for a cheap hotel with free parking near Cambridge . ||| Qed infittex lukanda rħisa b'parkeġġ b'xejn ħdejn Cambridge .
I have multiple cheap hotels with free parking . What part of town are you interested in staying in ? ||| Għandi lukandi rħas multipli b'parkeġġ b'xejn . F'liema parti tal belt int interessat li toqgħod ?
I'd like to stay close to the center area , but the hotel should be 3 star . ||| Nixtieq noqgħod qrib iż żona taċ ċentru , iżda l lukanda għandha tkun 3 stilel .
We do not have any hotels that match your search . Do you want to try something else ? ||| M'għandniex lukandi li jaqblu mat tfittxija tiegħek . Trid tipprova xi ħaġa oħra ?
Are there any moderate 3 star hotels with free parking ? ||| Hemm xi lukandi moderati ta' 3 stilel b'parkeġġ b'xejn ?
We do not have any hotels that match your search . Do you want to try something else ? ||| M'għandniex lukandi li jaqblu mat tfittxija tiegħek . Trid tipprova xi ħaġa oħra ?
How about one in the moderate price range ? ||| Kif dwar wieħed fil firxa tal prezz moderat ?
We have 3 entries that match your preferences . Would you prefer north , south , or west ? ||| Għandna 3 entrati li jaqblu mal preferenzi tiegħek . Tippreferi t tramuntana , in nofsinhar , jew il punent ?
I don't have a preference but I would also like ot find a restaurant called the Cow Pizza Kitchen and Bar . ||| M'għandix preferenza imma nixtieq ukoll insib ristorant jismu Cow Pizza Kitchen and Bar .
Before I book your restaurant would you like to book your lodging ? I think you will like Hamilton Lodge . It meets your needs . ||| Qabel ma nibbukkja r ristorant tiegħek tixtieq tibbukkja l alloġġ tiegħek ? Naħseb li inti tixtieq Hamilton Lodge . Tissodisfa l bżonnijiet tiegħek .
Does it have internet ? ||| Għandu l internet ?
Yes , the Hamilton Lodge has internet . ||| Iva , l Hamilton Lodge għandha l internet .
Sounds great . What is the address and contact information ? ||| Ħsejjes kbir . X'inhu l indirizz u l informazzjoni ta' kuntatt ?
Hamilton lodge is located at 156 chesterton road postcode cb41da . Their phone is 01223365664 . Would you like me to book a room for you ? ||| Hamilton lodge jinsab f'156 chesterton road kodiċi postali cb41da . It telefon tagħhom hu 01223365664 . Tixtieq li nibbukkjalek kamra ?
That's not necessary , thank you . You could , however , find me a restaurant a friend mentioned . I think it was called the Cow Pizza Kitchen and Bar . ||| Dak mhux meħtieġ , grazzi . Tista' , madankollu , issibni restorant li semma ħabib . Naħseb li kien jissejjaħ Cow Pizza Kitchen and Bar .
The Cow Pizza Kitchen and Bar is a moderately priced gastropub in the centre of town . Would you like a reservation ? ||| Il Cow Pizza Kitchen and Bar huwa gastropub bi prezz moderat fiċ ċentru tal belt . Tixtieq prenotazzjoni ?
May I have the address for The Cow Pizza Kitchen and Bar please ? ||| Jista' jkolli l indirizz għal The Cow Pizza Kitchen and Bar jekk jogħġbok ?
The address is Corn Exchange Street . Is there anything else I can help you with ? ||| L indirizz huwa Corn Exchange Street . Hemm xi ħaġa oħra li nista' ngħinek biha ?
I would like a taxi for the hotel by 13:45 to get to the restaurant please . ||| Nixtieq taxi għal lukanda sa 13:45 biex tasal għar ristorant jekk jogħġbok .
I have booked a taxi to arrive at the hamilton lodge by 13:45 . The contact number is 07214110599 . ||| Ibbukkjajt taxi biex nasal il hamilton lodge sa 13:45 . In numru ta' kuntatt huwa 07214110599 .
What is the car type for the taxi ? ||| X'inhu t tip ta' karozza għat taxi ?
The taxi is a Red Audi ||| It taxi hija Red Audi
Thank you , that will be all I need . ||| Grazzi , dak se jkun dak kollu li għandi bżonn .
You are very welcome , have a wonderful day ! ||| Int merħba ħafna , għandkom ġurnata mill isbaħ !
Im looking for an italian restaurant . I also need it to be near the center of town . ||| Qed infittex ristorant Taljan . Għandi bżonn ukoll li jkun qrib iċ ċentru tal belt .
There are 9 italian restaurants in the center of town . Do you have a particular price range in mind ? ||| Hemm 9 ristoranti Taljani fiċ ċentru tal belt . Għandek f'moħħok firxa ta' prezzijiet partikolari ?
i need a cheap restaurant ||| għandi bżonn restorant irħis
There is Pizza Hut City Centre , Ask , and Zizzi Cambridge , which would you like to book ? ||| Hemm Pizza Hut City Centre , Ask , u Zizzi Cambridge , liema tixtieq tibbukkja ?
Can you book a table for 7 at Ask ? We're looking at 14:00 on Saturday . ||| Tista' tibbukkja mejda għal 7 fuq Ask ? Qed inħarsu lejn is 14:00 tas Sibt .
Sorry , there are no tables available at Ask at that time . Would you like to book another day or time , or perhaps another restaurant ? ||| Jiddispjacini , m'hemm l ebda tabelli disponibbli fuq Ask f'dak il ħin . Tixtieq tibbukkja ġurnata jew ħin ieħor , jew forsi ristorant ieħor ?
Can you try 13:00 , then ? ||| Tista' tipprova 13:00 , allura ?
13:00 it is . Your table at Ask will be held for 15 minutes , and your reference number is L2KZYL26 . Can I help you with anything else ? ||| 13:00 huwa . Il mejda tiegħek f'Ask se tinżamm għal 15 il minuta , u n numru ta' referenza tiegħek huwa L2KZYL26 . Nista ngħinek b xi ħaġa oħra ?
I'm also looking for a hotel ||| Qed infittex ukoll lukanda
We have 33 different hotels . Did you have a price range or star rating in mind ? ||| Għandna 33 lukanda differenti . Kellek f'moħħok firxa ta' prezzijiet jew klassifikazzjoni tal istilla ?
Something in the cheap price range including free parking ||| Xi ħaġa fil firxa tal prezzijiet irħas inkluż parkeġġ b'xejn
What area would you prefer to stay in ? This will help narrow down your options . ||| F'liema żona tippreferi toqgħod ? Dan jgħin biex jonqos l għażliet tiegħek .
I would like to book a hotel close to our restaurant here in the centre , it will also need to be cheap , and have free parking . ||| Nixtieq nibbukkja lukanda qrib ir ristorant tagħna hawn fiċ ċentru , jeħtieġ ukoll li tkun irħisa , u jkollha parkeġġ b'xejn .
There are two hotels available . Would you like me to book one for you ? ||| Hemm żewġ lukandi disponibbli . Tixtieq li nibbukkja waħda għalik ?
Yes please . The our group of 7 will all be staying there for 3 nights starting Saturday . ||| Iva jekk jogħġbok . Il grupp tagħna ta' 7 se jkunu kollha joqogħdu hemm għal 3 iljieli li jibdew is Sibt .
I've booked you a 3 day stay at the Alexander Bed and Breakfast for 7 people . Do you need anything else ? ||| Bbukkejtlek waqfa ta 3 ijiem fl Alexander Bed and Breakfast għal 7 persuni . Għandek bżonn xi ħaġa oħra ?
Could I have the reference number for that reservation please ? ||| Jista' jkolli n numru ta' referenza għal dik ir riservazzjoni jekk jogħġbok ?
Yes , your reference number is 1JBO1R08 . ||| Iva , in numru ta' referenza tiegħek huwa 1JBO1R08 .
Thank you so much for all of your help . That is all I needed for now . Have a nice day . ||| Grazzi ħafna tal għajnuna kollha tiegħek . Dan huwa dak kollu li kelli bżonn għalissa . Il ġurnata t tajba .
Thank you for choosing us to assist you on your travels . Have a good day . ||| Grazzi talli għażiltna biex ngħinuk fil vjaġġi tiegħek . Il ġurnata t tajba .
Find me a Mediterranean restaurant in the centre of Cambridge . ||| Sibni restorant tal Mediterran fiċ ċentru ta Cambridge .
The gardenia fits your criteria , can I book that for you ? ||| Il gardenia taqbel mal kriterji tiegħek , nista' nibbukkja dik għalik ?
Yes , please book that for me . ||| Iva , jekk jogħġbok ibbukkja dik għalija .
How many people and what time day are you looking at ? ||| Kemm nies u liema ħin jum qed tħares lejn ?
I need the table booked for monday at 12:15 for 3 people . Thanks . Also could i get the ref ? ||| Għandi bżonn il mejda bbukkjata għat Tnejn f'12:15 għal 3 persuni . Grazzi . Wkoll nista 'nikseb ir referenza ?
Booking was successful . Your reference number is: NZ89K99X , they will only hold your table for 15 minutes . Is there anything else I can assist you with today ? ||| Il prenotazzjoni kienet suċċess . In numru ta 'referenza tiegħek huwa: NZ89K99X , huma jżommu l mejda tiegħek biss għal 15 il minuta . Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
Great I also am looking for a hotel to stay at that includes free parking . What's available ? ||| Kbir Qed infittex ukoll lukanda fejn toqgħod li tinkludi parkeġġ b'xejn . X'hemm disponibbli ?
I have found acorn guest house which is a 4 star guesthouse and includes free parking . ||| Sibt guest house acorn li hija guesthouse ta '4 stilel u tinkludi parkeġġ b'xejn .
Actually , I'm looking for a hotel and in the same price range as the restaurant . ||| Fil fatt , qed infittex lukanda u fl istess firxa ta prezzijiet tar ristorant .
Can you please restate your hotel needs clearly ? Thank you ! ||| Tista' jekk jogħġbok tiddikjara mill ġdid il bżonnijiet tal lukanda tiegħek b'mod ċar ? Grazzi !
Yes I need a hotel in the same price range as the restaurant with free parking . ||| Iva għandi bżonn lukanda fl istess firxa ta' prezzijiet tar ristorant b'parkeġġ b'xejn .
There are five hotels in the expensive price range . Do you have any other preferences ? ||| Hemm ħames lukandi fil firxa ta 'prezzijiet għaljin . Għandek xi preferenzi oħra ?
Can you give me the first one and the star rating for it please ? It has to have free parking . ||| Tista' tagħtini l ewwel waħda u l istilla għaliha jekk jogħġbok ? Għandu jkollu parkeġġ b'xejn .
express by holiday inn cambridge is rated 2 stars . Do you want me to make a booking there ? ||| express by Holiday Inn Cambridge huwa kklassifikat 2 stilel . Tridni nagħmel prenotazzjoni hemmhekk ?
Does the Express by Holiday Inn have free parking ? ||| L Express by Holiday Inn għandu parkeġġ b'xejn ?
Yes , the Express by Holiday Inn does have free parking . Do you want me to go ahead and make a booking for you ? ||| Iva , l Express by Holiday Inn għandu parkeġġ b'xejn . Tridni mmur quddiem u nagħmel prenotazzjoni għalik ?
Yes also I will need a taxi to get me between the hotel and the restaurant . I will need a contact number and car type with the booking . ||| Iva wkoll ikolli bżonn taxi biex iġġibni bejn il lukanda u r ristorant . Ikolli bżonn numru ta' kuntatt u tip ta' karozza mal prenotazzjoni .
First I need to know how many are in your party , what day you wish to check in , and how many nights you need a room . ||| L ewwel irrid inkun naf kemm hemm fil parti tiegħek , liema ġurnata tixtieq tiċċekkja , u kemm iljieli għandek bżonn kamra .
